"Título","Categoría","Contenido","Planes aplicables"
"Cómo actualizar el método de pago","Facturación","Desde Configuración → Facturación → Método de pago se puede reemplazar la tarjeta registrada. El cambio aplica al siguiente ciclo de cobro. Las facturas ya emitidas no se re-procesan con la tarjeta nueva.","Free, Pro, Enterprise"
"Política de reembolsos y prorrateo","Facturación","Los reembolsos se otorgan dentro de los 14 días posteriores al cobro. Si el cliente baja de plan a mitad de ciclo, el saldo se acredita como prorrateo para el período siguiente en lugar de devolverse.","Pro, Enterprise"
"Cambiar de plan o cancelar la suscripción","Facturación","El upgrade se activa de inmediato con cobro prorrateado. El downgrade y la cancelación se aplican al cierre del ciclo vigente, manteniendo el acceso hasta esa fecha. Los datos se conservan 90 días después de cancelar.","Free, Pro, Enterprise"
"La sincronización de contactos falla o queda a medias","Bug técnico","Las sincronizaciones parciales suelen deberse a registros con email duplicado o campos obligatorios vacíos. En Configuración → Integraciones → Historial de sincronización se puede descargar el detalle de filas rechazadas y volver a correr el proceso solo con esas.","Free, Pro, Enterprise"
"Error 403 al conectar una cuenta de Google","Bug técnico","El 403 indica que los permisos de la cuenta de Google fueron revocados o que el usuario no es administrador del workspace. Hay que desconectar la integración, volver a autorizarla y aceptar los tres permisos solicitados.","Free, Pro, Enterprise"
"Reportes que no cargan o quedan en blanco","Bug técnico","Los reportes con más de 50.000 registros pueden exceder el tiempo de carga. Reducir el rango de fechas o aplicar un filtro por segmento resuelve la mayoría de los casos. Los reportes programados se generan de madrugada sin ese límite.","Pro, Enterprise"
"Cómo importar contactos desde CSV","Cómo hacer","El archivo debe tener encabezados en la primera fila y codificación UTF-8. Las columnas mínimas son nombre y email. En el paso de mapeo se puede elegir si los duplicados se omiten o se actualizan.","Free, Pro, Enterprise"
"Cómo invitar usuarios y asignar roles","Cómo hacer","Desde Configuración → Equipo se envían invitaciones por email. Los roles disponibles son Administrador, Editor y Lector. El plan Pro admite hasta 10 usuarios, Enterprise no tiene límite.","Pro, Enterprise"
"Cómo configurar campos personalizados","Cómo hacer","En Configuración → Campos personalizados se pueden crear campos de texto, número, fecha o lista. Una vez que un campo tiene datos, su tipo no se puede cambiar, hay que crear uno nuevo y migrar.","Pro, Enterprise"
"Cómo se priorizan las solicitudes de funciones","Solicitud de función","Las solicitudes se registran en el roadmap público y se priorizan por cantidad de votos e impacto. No se comprometen fechas de entrega. Los clientes Enterprise pueden escalar pedidos a través de su ejecutivo de cuenta.","Free, Pro, Enterprise"
